100,250000,53200,50700,256000,72000
200,450000,56400,51600,256000,76000
400,850000,62800,53600,256000,80000
800,1650000,75600,58000,256000,84000
1600,3250000,101200,67600,256000,88000
3200,6450000,152400,88400,256000,92000
6400,12850000,254800,133200,256000,96000
12800,25650000,459600,229200,256000,100000
