1,100000,25600000,12800000,6800000,3400000
2,200000,25600000,12800000,6800000,3400000
4,400000,25600000,12800000,6800000,3400000
8,800000,25600000,12800000,6800000,3400000
16,1600000,25600000,12800000,6800000,3400000
32,3200000,25600000,12800000,6800000,3400000
64,6400000,25600000,12800000,6800000,3400000
128,12800000,25600000,12800000,6800000,3400000
256,25600000,25600000,12800000,6800000,3400000
512,51200000,25600000,12800000,6800000,3400000
1024,102400000,25600000,12800000,6800000,3400000
2048,204800000,25600000,12800000,6800000,3400000
